c_id,c_fname,c_lname,c_phonenum,c_email,c_password,c_doctor,c_dob,c_address
DEFAULT,Jake,Gutridge,906-416-5498,jgutridge0@tiny.cc,LUmal0RhBV,Phillip McGraw,11/20/1981,"64 Leroy Street, San Luis Obispo, CA 93407"
DEFAULT,Coraline,Manus,364-943-9367,cmanus1@virginia.edu,b0T3k7N5,Libby Caldwell,11/28/1998,"255 Delaware Trail, Bakersfield, CA, 93311"
DEFAULT,Carl,Songist,429-590-2130,hsongist2@freewebs.com,SncebwuXDVr1,Horatio Gauche,1/6/1963,"931 Nobel Lane, Bakersfield, CA, 93314"
DEFAULT,Charmine,Meachan,208-950-5329,cmeachan3@engadget.com,WSf1YR1HQV,Derek Shepherd,4/12/1953,"6 Lakeland Way, Bakersfield, CA, 93312"
DEFAULT,Ginger,Sante,385-314-6557,gsante4@51.la,kpPFpMd5clVL,Abby Normal,7/9/1940,"18 Melvin Avenue, Bakersfield, CA, 93311"
DEFAULT,Livvyy,Poulsum,533-369-8655,lpoulsum5@senate.gov,sWfNVt,Phillip McGraw,4/27/1979,"4 Packers Trail, Bakersfield, CA, 93314"
DEFAULT,Ber,Danaher,312-513-3087,bdanaher6@sogou.com,e2KcTs6,John Dorian,7/1/1998,"136 Dahle Pass, Bakersfield, CA, 93312"
DEFAULT,Archibaldo,McNeilley,679-628-9259,amcneilley7@yahoo.co.jp,ZhbKUT3j,Libby Caldwell,2/2/1990,"328 Rutledge Avenue, Bakersfield, CA, 93311"
DEFAULT,Clarke,Witherow,674-465-7675,cwitherow8@mtv.com,dPSh1fOFCE,Abby Normal,11/20/1990,"933 Melrose Plaza, Bakersfield, CA, 93314"
DEFAULT,Elvis,Cereceres,311-968-5963,ecereceres9@unicef.org,UjQaHy49E7,Derek Shepherd,5/11/1983,"17 Bellgrove Hill, Bakersfield, CA, 93311"
DEFAULT,Bria,Schultes,559-834-7674,bschultesa@webs.com,OmxkjDepaUx,Horatio Gauche,8/20/1941,"251 Shelley Road, Bakersfield, CA, 93312"
DEFAULT,Laurene,Busain,284-353-0688,lbusainb@nature.com,iMBbqR0I,Elloit Reed,3/29/1950,"5354 West Hill, Bakersfield, CA, 93311"
DEFAULT,Llywellyn,Patterfield,916-234-9195,lpatterfieldc@theatlantic.com,6NN6E9,Elloit Reed,2/3/1952,"80042 Bartelt Parkway, Bakersfield, CA, 93311"
DEFAULT,Rani,Kinman,469-274-0669,rkinmand@wunderground.com,6qMFEjC1jWwu,Libby Caldwell,2/14/1952,"0 Mesta Terrace, Bakersfield, CA, 93314"
DEFAULT,Ruthy,Downey,331-670-9738,rdowneye@github.com,KvHxCvZp,John Dorian,9/22/1945,"866 Lake View Place, Bakersfield, CA, 93312"
DEFAULT,Markos,Corsor,954-598-3029,mcorsorf@icq.com,cseeR6HTaQx,Phillip McGraw,11/23/1996,"6478 Autumn Leaf Lane, Bakersfield, CA, 93307"
DEFAULT,Quentin,McParlin,316-794-6927,qmcparling@indiegogo.com,XEnIV2PFl,Derek Shepherd,11/20/1997,"7 Crest Line Junction, Bakersfield, CA, 93311"
DEFAULT,Jane,Alp,263-801-1756,jalph@senate.gov,MqutSyQDq,Abby Normal,3/24/1944,"576 Morning Place, San Luis Obispo, CA 93407"
DEFAULT,Hans,Winsom,309-148-2359,hwinsomi@networksolutions.com,koDpjmiU,Elloit Reed,4/5/1970,"8 Eggendart Point, Bakersfield, CA, 93311"
